Commit Log for Tue Jan  2 21:42:43 2018


Seuraavat paketit päivitettiin:
kpartx-boot (0.5.0+git1.656f8865-5ubuntu2.4) to 0.5.0+git1.656f8865-5ubuntu2.5
less (481-2.1ubuntu0.1) to 481-2.1ubuntu0.2
libapparmor-perl (2.10.95-0ubuntu2.6) to 2.10.95-0ubuntu2.7
libapparmor1 (2.10.95-0ubuntu2.6) to 2.10.95-0ubuntu2.7
libappstream-glib8 (0.5.13-1ubuntu4) to 0.5.13-1ubuntu5
libapt-inst2.0 (1.2.20) to 1.2.24
libapt-pkg5.0 (1.2.20) to 1.2.24
libarchive13 (3.1.2-11ubuntu0.16.04.3) to 3.2.1-2~ubuntu16.04.1
libasan2 (5.4.0-6ubuntu1~16.04.4) to 5.4.0-6ubuntu1~16.04.5
libasn1-8-heimdal (1.7~git20150920+dfsg-4ubuntu1) to 1.7~git20150920+dfsg-4ubuntu1.16.04.1
libatomic1 (5.4.0-6ubuntu1~16.04.4) to 5.4.0-6ubuntu1~16.04.5
libbind9-140 (1:9.10.3.dfsg.P4-8ubuntu1.6) to 1:9.10.3.dfsg.P4-8ubuntu1.9
libblkid1 (2.27.1-6ubuntu3.2) to 2.27.1-6ubuntu3.3
libbluetooth3 (5.37-0ubuntu5) to 5.37-0ubuntu5.1
libc-bin (2.23-0ubuntu7) to 2.23-0ubuntu9
libc6 (2.23-0ubuntu7) to 2.23-0ubuntu9
libc6-dbg (2.23-0ubuntu7) to 2.23-0ubuntu9
libcc1-0 (5.4.0-6ubuntu1~16.04.4) to 5.4.0-6ubuntu1~16.04.5
libcilkrts5 (5.4.0-6ubuntu1~16.04.4) to 5.4.0-6ubuntu1~16.04.5
libcrack2 (2.9.2-1build2) to 2.9.2-1ubuntu1
libcryptsetup4 (2:1.6.6-5ubuntu2) to 2:1.6.6-5ubuntu2.1
libcups2 (2.1.3-4) to 2.1.3-4ubuntu0.3
libcupscgi1 (2.1.3-4) to 2.1.3-4ubuntu0.3
libcupsimage2 (2.1.3-4) to 2.1.3-4ubuntu0.3
libcupsmime1 (2.1.3-4) to 2.1.3-4ubuntu0.3
libcupsppdc1 (2.1.3-4) to 2.1.3-4ubuntu0.3
libcurl3-gnutls (7.47.0-1ubuntu2.2) to 7.47.0-1ubuntu2.5
libdb5.3 (5.3.28-11) to 5.3.28-11ubuntu0.1
libdns-export162 (1:9.10.3.dfsg.P4-8ubuntu1.6) to 1:9.10.3.dfsg.P4-8ubuntu1.9
libdns162 (1:9.10.3.dfsg.P4-8ubuntu1.6) to 1:9.10.3.dfsg.P4-8ubuntu1.9
libdpkg-perl (1.18.4ubuntu1.2) to 1.18.4ubuntu1.3
libdrm-amdgpu1 (2.4.70-1~ubuntu16.04.1) to 2.4.76-1~ubuntu16.04.1
libdrm-intel1 (2.4.70-1~ubuntu16.04.1) to 2.4.76-1~ubuntu16.04.1
libdrm-nouveau2 (2.4.70-1~ubuntu16.04.1) to 2.4.76-1~ubuntu16.04.1
libdrm-radeon1 (2.4.70-1~ubuntu16.04.1) to 2.4.76-1~ubuntu16.04.1
libdrm2 (2.4.70-1~ubuntu16.04.1) to 2.4.76-1~ubuntu16.04.1
libepoxy0 (1.3.1-1) to 1.3.1-1ubuntu0.16.04.2
libevdocument3-4 (3.18.2-1ubuntu4) to 3.18.2-1ubuntu4.3
libevview3-3 (3.18.2-1ubuntu4) to 3.18.2-1ubuntu4.3
libexpat1 (2.1.0-7ubuntu0.16.04.2) to 2.1.0-7ubuntu0.16.04.3
libfdisk1 (2.27.1-6ubuntu3.2) to 2.27.1-6ubuntu3.3
libfreerdp-cache1.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libfreerdp-client1.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libfreerdp-codec1.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libfreerdp-common1.1.0 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libfreerdp-core1.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libfreerdp-crypto1.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libfreerdp-gdi1.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libfreerdp-locale1.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libfreerdp-plugins-standard (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libfreerdp-primitives1.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libfreerdp-rail1.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libfreerdp-utils1.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libfwup0 (0.5-2ubuntu4) to 0.5-2ubuntu5
libgail-common (2.24.30-1ubuntu1) to 2.24.30-1ubuntu1.16.04.2
libgail18 (2.24.30-1ubuntu1) to 2.24.30-1ubuntu1.16.04.2
libgcc-5-dev (5.4.0-6ubuntu1~16.04.4) to 5.4.0-6ubuntu1~16.04.5
libgcrypt20 (1.6.5-2ubuntu0.2) to 1.6.5-2ubuntu0.3
libgd3 (2.1.1-4ubuntu0.16.04.6) to 2.1.1-4ubuntu0.16.04.8
libgdk-pixbuf2.0-0 (2.32.2-1ubuntu1.2) to 2.32.2-1ubuntu1.3
libgdk-pixbuf2.0-common (2.32.2-1ubuntu1.2) to 2.32.2-1ubuntu1.3
libgfortran3 (5.4.0-6ubuntu1~16.04.4) to 5.4.0-6ubuntu1~16.04.5
libgnutls-openssl27 (3.4.10-4ubuntu1.2) to 3.4.10-4ubuntu1.4
libgnutls30 (3.4.10-4ubuntu1.2) to 3.4.10-4ubuntu1.4
libgomp1 (5.4.0-6ubuntu1~16.04.4) to 5.4.0-6ubuntu1~16.04.5
libgraphite2-3 (1.3.6-1ubuntu1) to 1.3.10-0ubuntu0.16.04.1
libgs9 (9.18~dfsg~0-0ubuntu2.6) to 9.18~dfsg~0-0ubuntu2.7
libgs9-common (9.18~dfsg~0-0ubuntu2.6) to 9.18~dfsg~0-0ubuntu2.7
libgssapi3-heimdal (1.7~git20150920+dfsg-4ubuntu1) to 1.7~git20150920+dfsg-4ubuntu1.16.04.1
libgtk2.0-0 (2.24.30-1ubuntu1) to 2.24.30-1ubuntu1.16.04.2
libgtk2.0-bin (2.24.30-1ubuntu1) to 2.24.30-1ubuntu1.16.04.2
libgtk2.0-common (2.24.30-1ubuntu1) to 2.24.30-1ubuntu1.16.04.2
libgweather-3-6 (3.18.2-0ubuntu0.1) to 3.18.2-0ubuntu0.2
libgweather-common (3.18.2-0ubuntu0.1) to 3.18.2-0ubuntu0.2
libhcrypto4-heimdal (1.7~git20150920+dfsg-4ubuntu1) to 1.7~git20150920+dfsg-4ubuntu1.16.04.1
libheimbase1-heimdal (1.7~git20150920+dfsg-4ubuntu1) to 1.7~git20150920+dfsg-4ubuntu1.16.04.1
libheimntlm0-heimdal (1.7~git20150920+dfsg-4ubuntu1) to 1.7~git20150920+dfsg-4ubuntu1.16.04.1
libhx509-5-heimdal (1.7~git20150920+dfsg-4ubuntu1) to 1.7~git20150920+dfsg-4ubuntu1.16.04.1
libicu55 (55.1-7ubuntu0.2) to 55.1-7ubuntu0.3
libidn11 (1.32-3ubuntu1.1) to 1.32-3ubuntu1.2
libinput10 (1.2.3-1ubuntu1) to 1.6.3-1ubuntu1~16.04.1
libisc-export160 (1:9.10.3.dfsg.P4-8ubuntu1.6) to 1:9.10.3.dfsg.P4-8ubuntu1.9
libisc160 (1:9.10.3.dfsg.P4-8ubuntu1.6) to 1:9.10.3.dfsg.P4-8ubuntu1.9
libisccc140 (1:9.10.3.dfsg.P4-8ubuntu1.6) to 1:9.10.3.dfsg.P4-8ubuntu1.9
libisccfg140 (1:9.10.3.dfsg.P4-8ubuntu1.6) to 1:9.10.3.dfsg.P4-8ubuntu1.9
libitm1 (5.4.0-6ubuntu1~16.04.4) to 5.4.0-6ubuntu1~16.04.5
libjavascriptcoregtk-4.0-18 (2.16.2-0ubuntu0.16.04.1) to 2.18.3-0ubuntu0.16.04.1
libklibc (2.0.4-8ubuntu1.16.04.3) to 2.0.4-8ubuntu1.16.04.4
libkmod2 (22-1ubuntu4) to 22-1ubuntu5
libkrb5-26-heimdal (1.7~git20150920+dfsg-4ubuntu1) to 1.7~git20150920+dfsg-4ubuntu1.16.04.1
libldap-2.4-2 (2.4.42+dfsg-2ubuntu3.1) to 2.4.42+dfsg-2ubuntu3.2
liblouis-data (2.6.4-2) to 2.6.4-2ubuntu0.1
liblouis9 (2.6.4-2) to 2.6.4-2ubuntu0.1
liblsan0 (5.4.0-6ubuntu1~16.04.4) to 5.4.0-6ubuntu1~16.04.5
liblwres141 (1:9.10.3.dfsg.P4-8ubuntu1.6) to 1:9.10.3.dfsg.P4-8ubuntu1.9
libmagickcore-6.q16-2 (8:6.8.9.9-7ubuntu5.6) to 8:6.8.9.9-7ubuntu5.9
libmagickwand-6.q16-2 (8:6.8.9.9-7ubuntu5.6) to 8:6.8.9.9-7ubuntu5.9
libmirclient9 (0.21.0+16.04.20160330-0ubuntu1) to 0.26.3+16.04.20170605-0ubuntu1.1
libmirprotobuf3 (0.21.0+16.04.20160330-0ubuntu1) to 0.26.3+16.04.20170605-0ubuntu1.1
libmount1 (2.27.1-6ubuntu3.2) to 2.27.1-6ubuntu3.3
libmpx0 (5.4.0-6ubuntu1~16.04.4) to 5.4.0-6ubuntu1~16.04.5
libmwaw-0.3-3 (0.3.7-1ubuntu2) to 0.3.7-1ubuntu2.1
libnautilus-extension1a (1:3.18.4.is.3.14.3-0ubuntu5) to 1:3.18.4.is.3.14.3-0ubuntu6
libnl-3-200 (3.2.27-1) to 3.2.27-1ubuntu0.16.04.1
libnl-genl-3-200 (3.2.27-1) to 3.2.27-1ubuntu0.16.04.1
libnm-glib-vpn1 (1.2.6-0ubuntu0.16.04.1) to 1.2.6-0ubuntu0.16.04.2
libnm-glib4 (1.2.6-0ubuntu0.16.04.1) to 1.2.6-0ubuntu0.16.04.2
libnm-gtk-common (1.2.6-0ubuntu0.16.04.3) to 1.2.6-0ubuntu0.16.04.4
libnm-gtk0 (1.2.6-0ubuntu0.16.04.3) to 1.2.6-0ubuntu0.16.04.4
libnm-util2 (1.2.6-0ubuntu0.16.04.1) to 1.2.6-0ubuntu0.16.04.2
